file,generator,t_squared,f_statistic,dfn,dfd,p_value,reject_0.05,reject_0.01
mask4_sabr.csv,sabr,178.43947399995932,7.2549487398044255,20,87,1.9395041128689172e-11,True,True
mask3_sabr.csv,sabr,171.68936234697838,6.980504341754114,20,87,4.840805534200854e-11,True,True
mask1_sabr.csv,sabr,124.29573228545574,5.053585656207667,20,87,4.9642147392781055e-08,True,True
mask5_brown.csv,brown,102.87085695564174,4.1824982852903085,20,87,1.5522280271129674e-06,True,True
mask1_brown.csv,brown,88.4637201286497,3.596736419800839,20,87,1.7395101387984724e-05,True,True
mask3_brown.csv,brown,81.04118340122325,3.294952726598477,20,87,6.20012217044108e-05,True,True
mask5_sabr.csv,sabr,24.666803502346568,1.0028968981627542,20,87,0.4674515814697574,False,False
mask2_sabr.csv,sabr,22.989501127158636,0.9347015460897963,20,87,0.5464038797310224,False,False
mask4_brown.csv,brown,16.26713521594362,0.6613852276608105,20,87,0.852649806447585,False,False
mask2_brown.csv,brown,16.14565759363389,0.6564462200346692,20,87,0.8570751469783463,False,False
